tick_num,received_at,instrument,ts,ts_ist,ltp,bid,ask,volume,oi,iv_pct,theta,strike,expiry
1,2026-03-13 15:32:29.542,NSE_INDEX|Nifty 50,1773373508076,2026-03-13 09:15:08,23449.05,23425.6,23472.5,1,0.0,0.0,0.0,,None
2,2026-03-13 15:32:31.632,NSE_INDEX|Nifty 50,1773373508471,2026-03-13 09:15:08,23431.6,23408.17,23455.03,2,0.0,0.0,0.0,,None
3,2026-03-13 15:32:31.633,NSE_INDEX|Nifty 50,1773373510451,2026-03-13 09:15:10,23438.3,23414.86,23461.74,3,0.0,0.0,0.0,,None
4,2026-03-13 15:32:31.633,NSE_INDEX|Nifty 50,1773373510980,2026-03-13 09:15:10,23445.35,23421.9,23468.8,4,0.0,0.0,0.0,,None
5,2026-03-13 15:32:31.634,NSE_INDEX|Nifty 50,1773373511476,2026-03-13 09:15:11,23443.0,23419.56,23466.44,5,0.0,0.0,0.0,,None
6,2026-03-13 15:32:31.634,NSE_INDEX|Nifty 50,1773373511943,2026-03-13 09:15:11,23442.5,23419.06,23465.94,6,0.0,0.0,0.0,,None
7,2026-03-13 15:32:31.635,NSE_INDEX|Nifty 50,1773373512485,2026-03-13 09:15:12,23442.85,23419.41,23466.29,7,0.0,0.0,0.0,,None
8,2026-03-13 15:32:31.635,NSE_INDEX|Nifty 50,1773373512964,2026-03-13 09:15:12,23427.9,23404.47,23451.33,8,0.0,0.0,0.0,,None
9,2026-03-13 15:32:31.636,NSE_INDEX|Nifty 50,1773373513944,2026-03-13 09:15:13,23425.95,23402.52,23449.38,9,0.0,0.0,0.0,,None
10,2026-03-13 15:32:31.636,NSE_INDEX|Nifty 50,1773373514518,2026-03-13 09:15:14,23427.6,23404.17,23451.03,10,0.0,0.0,0.0,,None
11,2026-03-13 15:32:31.636,NSE_INDEX|Nifty 50,1773373514960,2026-03-13 09:15:14,23421.55,23398.13,23444.97,11,0.0,0.0,0.0,,None
12,2026-03-13 15:32:31.636,NSE_INDEX|Nifty 50,1773373515503,2026-03-13 09:15:15,23432.3,23408.87,23455.73,12,0.0,0.0,0.0,,None
13,2026-03-13 15:32:31.637,NSE_INDEX|Nifty 50,1773373515943,2026-03-13 09:15:15,23433.75,23410.32,23457.18,13,0.0,0.0,0.0,,None
14,2026-03-13 15:32:31.637,NSE_INDEX|Nifty 50,1773373516487,2026-03-13 09:15:16,23441.0,23417.56,23464.44,14,0.0,0.0,0.0,,None
15,2026-03-13 15:32:31.637,NSE_INDEX|Nifty 50,1773373516941,2026-03-13 09:15:16,23447.75,23424.3,23471.2,15,0.0,0.0,0.0,,None
