tick_num,received_at,instrument,ts,ts_ist,ltp,bid,ask,volume,oi,iv_pct,theta,strike,expiry
17421,2026-03-13 15:43:14.442,NSE_INDEX|Nifty 50,1773381362443,2026-03-13 11:26:02,23339.0,23315.66,23362.34,17421,0.0,0.0,0.0,,None
17422,2026-03-13 15:43:14.442,NSE_INDEX|Nifty 50,1773381362943,2026-03-13 11:26:02,23339.45,23316.11,23362.79,17422,0.0,0.0,0.0,,None
17423,2026-03-13 15:43:14.443,NSE_INDEX|Nifty 50,1773381363443,2026-03-13 11:26:03,23340.0,23316.66,23363.34,17423,0.0,0.0,0.0,,None
17424,2026-03-13 15:43:14.443,NSE_INDEX|Nifty 50,1773381364948,2026-03-13 11:26:04,23339.6,23316.26,23362.94,17424,0.0,0.0,0.0,,None
17425,2026-03-13 15:43:14.444,NSE_INDEX|Nifty 50,1773381365443,2026-03-13 11:26:05,23340.6,23317.26,23363.94,17425,0.0,0.0,0.0,,None
17426,2026-03-13 15:43:14.444,NSE_INDEX|Nifty 50,1773381365944,2026-03-13 11:26:05,23340.9,23317.56,23364.24,17426,0.0,0.0,0.0,,None
17427,2026-03-13 15:43:14.445,NSE_INDEX|Nifty 50,1773381366443,2026-03-13 11:26:06,23340.65,23317.31,23363.99,17427,0.0,0.0,0.0,,None
17428,2026-03-13 15:43:14.445,NSE_INDEX|Nifty 50,1773381367443,2026-03-13 11:26:07,23340.6,23317.26,23363.94,17428,0.0,0.0,0.0,,None
17429,2026-03-13 15:43:14.446,NSE_INDEX|Nifty 50,1773381367944,2026-03-13 11:26:07,23341.25,23317.91,23364.59,17429,0.0,0.0,0.0,,None
17430,2026-03-13 15:43:14.446,NSE_INDEX|Nifty 50,1773381368444,2026-03-13 11:26:08,23341.2,23317.86,23364.54,17430,0.0,0.0,0.0,,None
17431,2026-03-13 15:43:14.446,NSE_INDEX|Nifty 50,1773381368945,2026-03-13 11:26:08,23342.35,23319.01,23365.69,17431,0.0,0.0,0.0,,None
17432,2026-03-13 15:43:14.447,NSE_INDEX|Nifty 50,1773381369449,2026-03-13 11:26:09,23341.25,23317.91,23364.59,17432,0.0,0.0,0.0,,None
17433,2026-03-13 15:43:14.448,NSE_INDEX|Nifty 50,1773381369943,2026-03-13 11:26:09,23340.9,23317.56,23364.24,17433,0.0,0.0,0.0,,None
17434,2026-03-13 15:43:14.448,NSE_INDEX|Nifty 50,1773381370444,2026-03-13 11:26:10,23341.15,23317.81,23364.49,17434,0.0,0.0,0.0,,None
17435,2026-03-13 15:43:14.449,NSE_INDEX|Nifty 50,1773381370944,2026-03-13 11:26:10,23341.9,23318.56,23365.24,17435,0.0,0.0,0.0,,None
17436,2026-03-13 15:43:14.449,NSE_INDEX|Nifty 50,1773381371943,2026-03-13 11:26:11,23341.65,23318.31,23364.99,17436,0.0,0.0,0.0,,None
17437,2026-03-13 15:43:14.450,NSE_INDEX|Nifty 50,1773381372443,2026-03-13 11:26:12,23342.3,23318.96,23365.64,17437,0.0,0.0,0.0,,None
17438,2026-03-13 15:43:14.451,NSE_INDEX|Nifty 50,1773381372944,2026-03-13 11:26:12,23342.35,23319.01,23365.69,17438,0.0,0.0,0.0,,None
17439,2026-03-13 15:43:14.451,NSE_INDEX|Nifty 50,1773381373443,2026-03-13 11:26:13,23340.7,23317.36,23364.04,17439,0.0,0.0,0.0,,None
17440,2026-03-13 15:43:14.451,NSE_INDEX|Nifty 50,1773381373943,2026-03-13 11:26:13,23342.25,23318.91,23365.59,17440,0.0,0.0,0.0,,None
17441,2026-03-13 15:43:14.452,NSE_INDEX|Nifty 50,1773381374443,2026-03-13 11:26:14,23341.45,23318.11,23364.79,17441,0.0,0.0,0.0,,None
17442,2026-03-13 15:43:14.453,NSE_INDEX|Nifty 50,1773381375443,2026-03-13 11:26:15,23341.75,23318.41,23365.09,17442,0.0,0.0,0.0,,None
17443,2026-03-13 15:43:14.454,NSE_INDEX|Nifty 50,1773381376458,2026-03-13 11:26:16,23342.1,23318.76,23365.44,17443,0.0,0.0,0.0,,None
17444,2026-03-13 15:43:14.454,NSE_INDEX|Nifty 50,1773381376942,2026-03-13 11:26:16,23342.05,23318.71,23365.39,17444,0.0,0.0,0.0,,None
17445,2026-03-13 15:43:14.455,NSE_INDEX|Nifty 50,1773381377444,2026-03-13 11:26:17,23342.3,23318.96,23365.64,17445,0.0,0.0,0.0,,None
17446,2026-03-13 15:43:14.455,NSE_INDEX|Nifty 50,1773381377943,2026-03-13 11:26:17,23342.6,23319.26,23365.94,17446,0.0,0.0,0.0,,None
17447,2026-03-13 15:43:14.456,NSE_INDEX|Nifty 50,1773381378449,2026-03-13 11:26:18,23342.15,23318.81,23365.49,17447,0.0,0.0,0.0,,None
17448,2026-03-13 15:43:14.456,NSE_INDEX|Nifty 50,1773381378942,2026-03-13 11:26:18,23342.6,23319.26,23365.94,17448,0.0,0.0,0.0,,None
17449,2026-03-13 15:43:14.457,NSE_INDEX|Nifty 50,1773381379443,2026-03-13 11:26:19,23342.45,23319.11,23365.79,17449,0.0,0.0,0.0,,None
17450,2026-03-13 15:43:14.457,NSE_INDEX|Nifty 50,1773381379952,2026-03-13 11:26:19,23341.5,23318.16,23364.84,17450,0.0,0.0,0.0,,None
17451,2026-03-13 15:43:14.458,NSE_INDEX|Nifty 50,1773381380441,2026-03-13 11:26:20,23341.9,23318.56,23365.24,17451,0.0,0.0,0.0,,None
17452,2026-03-13 15:43:14.458,NSE_INDEX|Nifty 50,1773381381948,2026-03-13 11:26:21,23341.05,23317.71,23364.39,17452,0.0,0.0,0.0,,None
17453,2026-03-13 15:43:14.459,NSE_INDEX|Nifty 50,1773381382444,2026-03-13 11:26:22,23342.85,23319.51,23366.19,17453,0.0,0.0,0.0,,None
17454,2026-03-13 15:43:14.459,NSE_INDEX|Nifty 50,1773381382943,2026-03-13 11:26:22,23341.9,23318.56,23365.24,17454,0.0,0.0,0.0,,None
17455,2026-03-13 15:43:14.460,NSE_INDEX|Nifty 50,1773381383461,2026-03-13 11:26:23,23341.4,23318.06,23364.74,17455,0.0,0.0,0.0,,None
17456,2026-03-13 15:43:14.460,NSE_INDEX|Nifty 50,1773381383943,2026-03-13 11:26:23,23340.25,23316.91,23363.59,17456,0.0,0.0,0.0,,None
17457,2026-03-13 15:43:14.461,NSE_INDEX|Nifty 50,1773381384450,2026-03-13 11:26:24,23340.55,23317.21,23363.89,17457,0.0,0.0,0.0,,None
17458,2026-03-13 15:43:14.462,NSE_INDEX|Nifty 50,1773381384943,2026-03-13 11:26:24,23339.5,23316.16,23362.84,17458,0.0,0.0,0.0,,None
17459,2026-03-13 15:43:14.462,NSE_INDEX|Nifty 50,1773381386446,2026-03-13 11:26:26,23339.4,23316.06,23362.74,17459,0.0,0.0,0.0,,None
17460,2026-03-13 15:43:14.463,NSE_INDEX|Nifty 50,1773381386943,2026-03-13 11:26:26,23339.6,23316.26,23362.94,17460,0.0,0.0,0.0,,None
17461,2026-03-13 15:43:14.463,NSE_INDEX|Nifty 50,1773381387458,2026-03-13 11:26:27,23339.8,23316.46,23363.14,17461,0.0,0.0,0.0,,None
17462,2026-03-13 15:43:14.464,NSE_INDEX|Nifty 50,1773381387943,2026-03-13 11:26:27,23340.1,23316.76,23363.44,17462,0.0,0.0,0.0,,None
17463,2026-03-13 15:43:14.464,NSE_INDEX|Nifty 50,1773381388453,2026-03-13 11:26:28,23339.2,23315.86,23362.54,17463,0.0,0.0,0.0,,None
17464,2026-03-13 15:43:14.465,NSE_INDEX|Nifty 50,1773381388943,2026-03-13 11:26:28,23340.0,23316.66,23363.34,17464,0.0,0.0,0.0,,None
17465,2026-03-13 15:43:14.465,NSE_INDEX|Nifty 50,1773381389452,2026-03-13 11:26:29,23339.75,23316.41,23363.09,17465,0.0,0.0,0.0,,None
17466,2026-03-13 15:43:14.466,NSE_INDEX|Nifty 50,1773381389956,2026-03-13 11:26:29,23340.3,23316.96,23363.64,17466,0.0,0.0,0.0,,None
17467,2026-03-13 15:43:14.466,NSE_INDEX|Nifty 50,1773381390941,2026-03-13 11:26:30,23338.9,23315.56,23362.24,17467,0.0,0.0,0.0,,None
17468,2026-03-13 15:43:14.467,NSE_INDEX|Nifty 50,1773381391443,2026-03-13 11:26:31,23340.4,23317.06,23363.74,17468,0.0,0.0,0.0,,None
17469,2026-03-13 15:43:14.467,NSE_INDEX|Nifty 50,1773381392442,2026-03-13 11:26:32,23339.8,23316.46,23363.14,17469,0.0,0.0,0.0,,None
17470,2026-03-13 15:43:14.468,NSE_INDEX|Nifty 50,1773381392946,2026-03-13 11:26:32,23340.1,23316.76,23363.44,17470,0.0,0.0,0.0,,None
