tick_num,received_at,instrument,ts,ts_ist,ltp,oi,strike,expiry
1,2026-03-12 17:59:51.118,NSE_INDEX|Nifty 50,1773287108441,2026-03-12 09:15:08,23632.65,0.0,,None
2,2026-03-12 17:59:54.033,NSE_INDEX|Nifty 50,1773287109857,2026-03-12 09:15:09,23632.0,0.0,,None
3,2026-03-12 17:59:54.033,NSE_INDEX|Nifty 50,1773287111862,2026-03-12 09:15:11,23640.1,0.0,,None
4,2026-03-12 17:59:54.033,NSE_INDEX|Nifty 50,1773287112385,2026-03-12 09:15:12,23642.45,0.0,,None
5,2026-03-12 17:59:54.034,NSE_INDEX|Nifty 50,1773287112850,2026-03-12 09:15:12,23642.5,0.0,,None
6,2026-03-12 17:59:54.034,NSE_INDEX|Nifty 50,1773287114358,2026-03-12 09:15:14,23641.25,0.0,,None
7,2026-03-12 17:59:54.035,NSE_INDEX|Nifty 50,1773287114861,2026-03-12 09:15:14,23638.95,0.0,,None
8,2026-03-12 17:59:54.035,NSE_INDEX|Nifty 50,1773287115357,2026-03-12 09:15:15,23639.15,0.0,,None
9,2026-03-12 17:59:54.035,NSE_INDEX|Nifty 50,1773287115862,2026-03-12 09:15:15,23636.7,0.0,,None
10,2026-03-12 17:59:54.035,NSE_INDEX|Nifty 50,1773287116376,2026-03-12 09:15:16,23632.15,0.0,,None
11,2026-03-12 17:59:54.035,NSE_INDEX|Nifty 50,1773287116909,2026-03-12 09:15:16,23627.9,0.0,,None
12,2026-03-12 17:59:54.036,NSE_INDEX|Nifty 50,1773287117409,2026-03-12 09:15:17,23626.25,0.0,,None
13,2026-03-12 17:59:54.036,NSE_INDEX|Nifty 50,1773287117883,2026-03-12 09:15:17,23628.35,0.0,,None
14,2026-03-12 17:59:54.036,NSE_INDEX|Nifty 50,1773287118862,2026-03-12 09:15:18,23625.05,0.0,,None
15,2026-03-12 17:59:54.036,NSE_INDEX|Nifty 50,1773287119857,2026-03-12 09:15:19,23625.75,0.0,,None
16,2026-03-12 17:59:54.036,NSE_INDEX|Nifty 50,1773287120381,2026-03-12 09:15:20,23624.6,0.0,,None
17,2026-03-12 17:59:54.036,NSE_INDEX|Nifty 50,1773287120857,2026-03-12 09:15:20,23624.7,0.0,,None
18,2026-03-12 17:59:54.037,NSE_INDEX|Nifty 50,1773287121521,2026-03-12 09:15:21,23625.8,0.0,,None
19,2026-03-12 17:59:54.037,NSE_INDEX|Nifty 50,1773287121857,2026-03-12 09:15:21,23626.65,0.0,,None
20,2026-03-12 17:59:54.037,NSE_INDEX|Nifty 50,1773287122394,2026-03-12 09:15:22,23626.55,0.0,,None
21,2026-03-12 17:59:54.037,NSE_INDEX|Nifty 50,1773287122857,2026-03-12 09:15:22,23632.0,0.0,,None
22,2026-03-12 17:59:54.037,NSE_INDEX|Nifty 50,1773287123416,2026-03-12 09:15:23,23629.1,0.0,,None
23,2026-03-12 17:59:54.037,NSE_INDEX|Nifty 50,1773287124400,2026-03-12 09:15:24,23629.1,0.0,,None
