ts,instrument,strike,expiry,ltp,oi
2026-01-09 09:15:00+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.55,3144960.0
2026-01-09 09:15:01+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.55,3144960.0
2026-01-09 09:15:02+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.55,3144960.0
2026-01-09 09:15:03+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.55,3144960.0
2026-01-09 09:15:04+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.55,3144960.0
2026-01-09 09:15:05+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.55,3144960.0
2026-01-09 09:15:06+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.55,3144960.0
2026-01-09 09:15:07+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.55,3144960.0
2026-01-09 09:15:08+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.85,3144960.0
2026-01-09 09:15:09+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.05,3144960.0
2026-01-09 09:15:10+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.05,3144960.0
2026-01-09 09:15:11+05:30,NIFTY2611325650PE,25650.0,2026-01-13,20.9,3144960.0
2026-01-09 09:15:12+05:30,NIFTY2611325650PE,25650.0,2026-01-13,20.9,3144960.0
2026-01-09 09:15:13+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.05,3144960.0
2026-01-09 09:15:14+05:30,NIFTY2611325650PE,25650.0,2026-01-13,20.85,3144960.0
2026-01-09 09:15:15+05:30,NIFTY2611325650PE,25650.0,2026-01-13,20.85,3144960.0
2026-01-09 09:15:16+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.7,3144960.0
2026-01-09 09:15:17+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.7,3144960.0
2026-01-09 09:15:18+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.7,3144960.0
2026-01-09 09:15:19+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.7,3144960.0
2026-01-09 09:15:20+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.0,3144960.0
2026-01-09 09:15:21+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.0,3144960.0
2026-01-09 09:15:22+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.0,3144960.0
2026-01-09 09:15:23+05:30,NIFTY2611325650PE,25650.0,2026-01-13,21.0,3144960.0
2026-01-09 09:15:24+05:30,NIFTY2611325650PE,25650.0,2026-01-13,20.8,3144960.0
2026-01-09 09:15:25+05:30,NIFTY2611325650PE,25650.0,2026-01-13,19.55,3144960.0
2026-01-09 09:15:26+05:30,NIFTY2611325650PE,25650.0,2026-01-13,19.55,3144960.0
2026-01-09 09:15:27+05:30,NIFTY2611325650PE,25650.0,2026-01-13,19.55,3144960.0
2026-01-09 09:15:28+05:30,NIFTY2611325650PE,25650.0,2026-01-13,19.4,3144960.0
2026-01-09 09:15:29+05:30,NIFTY2611325650PE,25650.0,2026-01-13,19.5,3144960.0
2026-01-09 09:15:30+05:30,NIFTY2611325650PE,25650.0,2026-01-13,19.75,3144960.0
2026-01-09 09:15:31+05:30,NIFTY2611325650PE,25650.0,2026-01-13,19.65,3144960.0
2026-01-09 09:15:32+05:30,NIFTY2611325650PE,25650.0,2026-01-13,19.65,3144960.0
2026-01-09 09:15:33+05:30,NIFTY2611325650PE,25650.0,2026-01-13,19.4,3144960.0
2026-01-09 09:15:34+05:30,NIFTY2611325650PE,25650.0,2026-01-13,18.6,3144960.0
