ts,instrument,strike,expiry,ltp,oi
2026-01-09 09:15:00+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:01+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:02+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:03+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:04+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:05+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:06+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:07+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:08+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:09+05:30,NIFTY2612025800PE,25800.0,2026-01-20,99.15,819715.0
2026-01-09 09:15:10+05:30,NIFTY2612025800PE,25800.0,2026-01-20,98.2,819715.0
2026-01-09 09:15:11+05:30,NIFTY2612025800PE,25800.0,2026-01-20,98.2,819715.0
2026-01-09 09:15:12+05:30,NIFTY2612025800PE,25800.0,2026-01-20,98.2,819715.0
2026-01-09 09:15:13+05:30,NIFTY2612025800PE,25800.0,2026-01-20,97.55,819715.0
2026-01-09 09:15:14+05:30,NIFTY2612025800PE,25800.0,2026-01-20,97.55,819715.0
2026-01-09 09:15:15+05:30,NIFTY2612025800PE,25800.0,2026-01-20,95.7,819715.0
2026-01-09 09:15:16+05:30,NIFTY2612025800PE,25800.0,2026-01-20,97.55,819715.0
2026-01-09 09:15:17+05:30,NIFTY2612025800PE,25800.0,2026-01-20,98.9,819715.0
2026-01-09 09:15:18+05:30,NIFTY2612025800PE,25800.0,2026-01-20,98.9,819715.0
2026-01-09 09:15:19+05:30,NIFTY2612025800PE,25800.0,2026-01-20,98.9,819715.0
2026-01-09 09:15:20+05:30,NIFTY2612025800PE,25800.0,2026-01-20,95.9,819715.0
2026-01-09 09:15:21+05:30,NIFTY2612025800PE,25800.0,2026-01-20,95.9,819715.0
2026-01-09 09:15:22+05:30,NIFTY2612025800PE,25800.0,2026-01-20,94.4,819715.0
2026-01-09 09:15:23+05:30,NIFTY2612025800PE,25800.0,2026-01-20,94.4,819715.0
2026-01-09 09:15:24+05:30,NIFTY2612025800PE,25800.0,2026-01-20,94.4,819715.0
2026-01-09 09:15:25+05:30,NIFTY2612025800PE,25800.0,2026-01-20,94.4,819715.0
2026-01-09 09:15:26+05:30,NIFTY2612025800PE,25800.0,2026-01-20,92.05,819715.0
2026-01-09 09:15:27+05:30,NIFTY2612025800PE,25800.0,2026-01-20,91.25,819715.0
2026-01-09 09:15:28+05:30,NIFTY2612025800PE,25800.0,2026-01-20,91.25,819715.0
