ts,instrument,strike,expiry,ltp,oi
2026-01-09 09:15:00+05:30,NIFTY2611325900CE,25900.0,2026-01-13,97.5,6147310.0
2026-01-09 09:15:01+05:30,NIFTY2611325900CE,25900.0,2026-01-13,97.5,6147310.0
2026-01-09 09:15:02+05:30,NIFTY2611325900CE,25900.0,2026-01-13,97.5,6147310.0
2026-01-09 09:15:03+05:30,NIFTY2611325900CE,25900.0,2026-01-13,97.5,6147310.0
2026-01-09 09:15:04+05:30,NIFTY2611325900CE,25900.0,2026-01-13,97.5,6147310.0
2026-01-09 09:15:05+05:30,NIFTY2611325900CE,25900.0,2026-01-13,97.5,6147310.0
2026-01-09 09:15:06+05:30,NIFTY2611325900CE,25900.0,2026-01-13,97.5,6147310.0
2026-01-09 09:15:07+05:30,NIFTY2611325900CE,25900.0,2026-01-13,97.5,6147310.0
2026-01-09 09:15:08+05:30,NIFTY2611325900CE,25900.0,2026-01-13,97.5,6147310.0
2026-01-09 09:15:09+05:30,NIFTY2611325900CE,25900.0,2026-01-13,98.2,6147310.0
2026-01-09 09:15:10+05:30,NIFTY2611325900CE,25900.0,2026-01-13,99.45,6147310.0
2026-01-09 09:15:11+05:30,NIFTY2611325900CE,25900.0,2026-01-13,99.45,6147310.0
2026-01-09 09:15:12+05:30,NIFTY2611325900CE,25900.0,2026-01-13,98.5,6147310.0
2026-01-09 09:15:13+05:30,NIFTY2611325900CE,25900.0,2026-01-13,98.5,6147310.0
2026-01-09 09:15:14+05:30,NIFTY2611325900CE,25900.0,2026-01-13,101.35,6147310.0
2026-01-09 09:15:15+05:30,NIFTY2611325900CE,25900.0,2026-01-13,101.25,6147310.0
2026-01-09 09:15:16+05:30,NIFTY2611325900CE,25900.0,2026-01-13,101.95,6147310.0
2026-01-09 09:15:17+05:30,NIFTY2611325900CE,25900.0,2026-01-13,101.0,6147310.0
2026-01-09 09:15:18+05:30,NIFTY2611325900CE,25900.0,2026-01-13,99.6,6147310.0
2026-01-09 09:15:19+05:30,NIFTY2611325900CE,25900.0,2026-01-13,102.0,6147310.0
2026-01-09 09:15:20+05:30,NIFTY2611325900CE,25900.0,2026-01-13,102.0,6147310.0
2026-01-09 09:15:21+05:30,NIFTY2611325900CE,25900.0,2026-01-13,102.0,6147310.0
2026-01-09 09:15:22+05:30,NIFTY2611325900CE,25900.0,2026-01-13,104.5,6147310.0
2026-01-09 09:15:23+05:30,NIFTY2611325900CE,25900.0,2026-01-13,104.5,6147310.0
2026-01-09 09:15:24+05:30,NIFTY2611325900CE,25900.0,2026-01-13,105.75,6147310.0
