ts,instrument,strike,expiry,ltp,oi
2026-01-09 09:15:00+05:30,NIFTY2611325650CE,25650.0,2026-01-13,279.85,81705.0
2026-01-09 09:15:01+05:30,NIFTY2611325650CE,25650.0,2026-01-13,279.85,81705.0
2026-01-09 09:15:02+05:30,NIFTY2611325650CE,25650.0,2026-01-13,279.85,81705.0
2026-01-09 09:15:03+05:30,NIFTY2611325650CE,25650.0,2026-01-13,279.85,81705.0
2026-01-09 09:15:04+05:30,NIFTY2611325650CE,25650.0,2026-01-13,279.85,81705.0
2026-01-09 09:15:05+05:30,NIFTY2611325650CE,25650.0,2026-01-13,279.85,81705.0
2026-01-09 09:15:06+05:30,NIFTY2611325650CE,25650.0,2026-01-13,279.85,81705.0
2026-01-09 09:15:07+05:30,NIFTY2611325650CE,25650.0,2026-01-13,279.85,81705.0
2026-01-09 09:15:08+05:30,NIFTY2611325650CE,25650.0,2026-01-13,281.2,81705.0
2026-01-09 09:15:09+05:30,NIFTY2611325650CE,25650.0,2026-01-13,285.4,81705.0
2026-01-09 09:15:10+05:30,NIFTY2611325650CE,25650.0,2026-01-13,285.4,81705.0
2026-01-09 09:15:11+05:30,NIFTY2611325650CE,25650.0,2026-01-13,285.4,81705.0
2026-01-09 09:15:12+05:30,NIFTY2611325650CE,25650.0,2026-01-13,287.45,81705.0
2026-01-09 09:15:13+05:30,NIFTY2611325650CE,25650.0,2026-01-13,288.7,81705.0
2026-01-09 09:15:14+05:30,NIFTY2611325650CE,25650.0,2026-01-13,288.7,81705.0
2026-01-09 09:15:15+05:30,NIFTY2611325650CE,25650.0,2026-01-13,288.55,81705.0
2026-01-09 09:15:16+05:30,NIFTY2611325650CE,25650.0,2026-01-13,288.55,81705.0
2026-01-09 09:15:17+05:30,NIFTY2611325650CE,25650.0,2026-01-13,288.55,81705.0
2026-01-09 09:15:18+05:30,NIFTY2611325650CE,25650.0,2026-01-13,285.75,81705.0
2026-01-09 09:15:19+05:30,NIFTY2611325650CE,25650.0,2026-01-13,285.75,81705.0
2026-01-09 09:15:20+05:30,NIFTY2611325650CE,25650.0,2026-01-13,288.85,81705.0
2026-01-09 09:15:21+05:30,NIFTY2611325650CE,25650.0,2026-01-13,288.85,81705.0
2026-01-09 09:15:22+05:30,NIFTY2611325650CE,25650.0,2026-01-13,294.0,81705.0
2026-01-09 09:15:23+05:30,NIFTY2611325650CE,25650.0,2026-01-13,294.0,81705.0
