ts,instrument,strike,expiry,ltp,oi
2026-01-05 09:15:00+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:01+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:02+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:03+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:04+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:05+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:06+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:07+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:08+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:09+05:30,NIFTY2610626550PE,26550.0,2026-01-06,187.85,109265.0
2026-01-05 09:15:10+05:30,NIFTY2610626550PE,26550.0,2026-01-06,189.7,109265.0
2026-01-05 09:15:11+05:30,NIFTY2610626550PE,26550.0,2026-01-06,189.7,109265.0
2026-01-05 09:15:12+05:30,NIFTY2610626550PE,26550.0,2026-01-06,189.7,109265.0
2026-01-05 09:15:13+05:30,NIFTY2610626550PE,26550.0,2026-01-06,189.7,109265.0
2026-01-05 09:15:14+05:30,NIFTY2610626550PE,26550.0,2026-01-06,189.7,109265.0
2026-01-05 09:15:15+05:30,NIFTY2610626550PE,26550.0,2026-01-06,186.4,109265.0
2026-01-05 09:15:16+05:30,NIFTY2610626550PE,26550.0,2026-01-06,186.4,109265.0
2026-01-05 09:15:17+05:30,NIFTY2610626550PE,26550.0,2026-01-06,181.8,109265.0
2026-01-05 09:15:18+05:30,NIFTY2610626550PE,26550.0,2026-01-06,181.8,109265.0
2026-01-05 09:15:19+05:30,NIFTY2610626550PE,26550.0,2026-01-06,181.8,109265.0
2026-01-05 09:15:20+05:30,NIFTY2610626550PE,26550.0,2026-01-06,184.25,109265.0
2026-01-05 09:15:21+05:30,NIFTY2610626550PE,26550.0,2026-01-06,184.25,109265.0
2026-01-05 09:15:22+05:30,NIFTY2610626550PE,26550.0,2026-01-06,184.25,109265.0
2026-01-05 09:15:23+05:30,NIFTY2610626550PE,26550.0,2026-01-06,184.25,109265.0
2026-01-05 09:15:24+05:30,NIFTY2610626550PE,26550.0,2026-01-06,184.25,109265.0
2026-01-05 09:15:25+05:30,NIFTY2610626550PE,26550.0,2026-01-06,185.4,109265.0
2026-01-05 09:15:26+05:30,NIFTY2610626550PE,26550.0,2026-01-06,185.4,109265.0
2026-01-05 09:15:27+05:30,NIFTY2610626550PE,26550.0,2026-01-06,188.05,109265.0
2026-01-05 09:15:28+05:30,NIFTY2610626550PE,26550.0,2026-01-06,189.0,109265.0
2026-01-05 09:15:29+05:30,NIFTY2610626550PE,26550.0,2026-01-06,189.5,109265.0
2026-01-05 09:15:30+05:30,NIFTY2610626550PE,26550.0,2026-01-06,190.35,109265.0
2026-01-05 09:15:31+05:30,NIFTY2610626550PE,26550.0,2026-01-06,191.75,109265.0
2026-01-05 09:15:32+05:30,NIFTY2610626550PE,26550.0,2026-01-06,191.75,109265.0
2026-01-05 09:15:33+05:30,NIFTY2610626550PE,26550.0,2026-01-06,197.25,109265.0
2026-01-05 09:15:34+05:30,NIFTY2610626550PE,26550.0,2026-01-06,197.9,109265.0
2026-01-05 09:15:35+05:30,NIFTY2610626550PE,26550.0,2026-01-06,197.9,109265.0
2026-01-05 09:15:36+05:30,NIFTY2610626550PE,26550.0,2026-01-06,198.6,109265.0
2026-01-05 09:15:37+05:30,NIFTY2610626550PE,26550.0,2026-01-06,196.85,109265.0
2026-01-05 09:15:38+05:30,NIFTY2610626550PE,26550.0,2026-01-06,198.6,109265.0
2026-01-05 09:15:39+05:30,NIFTY2610626550PE,26550.0,2026-01-06,198.85,109265.0
2026-01-05 09:15:40+05:30,NIFTY2610626550PE,26550.0,2026-01-06,197.8,109265.0
2026-01-05 09:15:41+05:30,NIFTY2610626550PE,26550.0,2026-01-06,195.55,109265.0
2026-01-05 09:15:42+05:30,NIFTY2610626550PE,26550.0,2026-01-06,196.2,109265.0
2026-01-05 09:15:43+05:30,NIFTY2610626550PE,26550.0,2026-01-06,198.5,109265.0
2026-01-05 09:15:44+05:30,NIFTY2610626550PE,26550.0,2026-01-06,199.2,109265.0
2026-01-05 09:15:45+05:30,NIFTY2610626550PE,26550.0,2026-01-06,199.45,109265.0
2026-01-05 09:15:46+05:30,NIFTY2610626550PE,26550.0,2026-01-06,201.55,109265.0
2026-01-05 09:15:47+05:30,NIFTY2610626550PE,26550.0,2026-01-06,203.6,109265.0
2026-01-05 09:15:48+05:30,NIFTY2610626550PE,26550.0,2026-01-06,203.4,109265.0
2026-01-05 09:15:49+05:30,NIFTY2610626550PE,26550.0,2026-01-06,205.9,109265.0
2026-01-05 09:15:50+05:30,NIFTY2610626550PE,26550.0,2026-01-06,205.9,109265.0
2026-01-05 09:15:51+05:30,NIFTY2610626550PE,26550.0,2026-01-06,205.65,109265.0
2026-01-05 09:15:52+05:30,NIFTY2610626550PE,26550.0,2026-01-06,206.95,109265.0
2026-01-05 09:15:53+05:30,NIFTY2610626550PE,26550.0,2026-01-06,205.75,109265.0
2026-01-05 09:15:54+05:30,NIFTY2610626550PE,26550.0,2026-01-06,208.05,109265.0
2026-01-05 09:15:55+05:30,NIFTY2610626550PE,26550.0,2026-01-06,209.75,109265.0
2026-01-05 09:15:56+05:30,NIFTY2610626550PE,26550.0,2026-01-06,210.65,109265.0
2026-01-05 09:15:57+05:30,NIFTY2610626550PE,26550.0,2026-01-06,215.1,109265.0
2026-01-05 09:15:58+05:30,NIFTY2610626550PE,26550.0,2026-01-06,215.1,109265.0
2026-01-05 09:15:59+05:30,NIFTY2610626550PE,26550.0,2026-01-06,213.85,109265.0
2026-01-05 09:16:00+05:30,NIFTY2610626550PE,26550.0,2026-01-06,216.1,109265.0
2026-01-05 09:16:01+05:30,NIFTY2610626550PE,26550.0,2026-01-06,218.6,109265.0
2026-01-05 09:16:02+05:30,NIFTY2610626550PE,26550.0,2026-01-06,218.6,109265.0
2026-01-05 09:16:03+05:30,NIFTY2610626550PE,26550.0,2026-01-06,220.25,109265.0
2026-01-05 09:16:04+05:30,NIFTY2610626550PE,26550.0,2026-01-06,216.75,109265.0
2026-01-05 09:16:05+05:30,NIFTY2610626550PE,26550.0,2026-01-06,216.75,109265.0
2026-01-05 09:16:06+05:30,NIFTY2610626550PE,26550.0,2026-01-06,217.7,109265.0
2026-01-05 09:16:07+05:30,NIFTY2610626550PE,26550.0,2026-01-06,217.45,109265.0
2026-01-05 09:16:08+05:30,NIFTY2610626550PE,26550.0,2026-01-06,217.45,109265.0
2026-01-05 09:16:09+05:30,NIFTY2610626550PE,26550.0,2026-01-06,216.7,109265.0
2026-01-05 09:16:10+05:30,NIFTY2610626550PE,26550.0,2026-01-06,215.1,109265.0
2026-01-05 09:16:11+05:30,NIFTY2610626550PE,26550.0,2026-01-06,221.4,109265.0
2026-01-05 09:16:12+05:30,NIFTY2610626550PE,26550.0,2026-01-06,223.0,137280.0
2026-01-05 09:16:13+05:30,NIFTY2610626550PE,26550.0,2026-01-06,223.0,137280.0
2026-01-05 09:16:14+05:30,NIFTY2610626550PE,26550.0,2026-01-06,223.7,137280.0
2026-01-05 09:16:15+05:30,NIFTY2610626550PE,26550.0,2026-01-06,222.85,137280.0
2026-01-05 09:16:16+05:30,NIFTY2610626550PE,26550.0,2026-01-06,221.95,137280.0
2026-01-05 09:16:17+05:30,NIFTY2610626550PE,26550.0,2026-01-06,221.6,137280.0
2026-01-05 09:16:18+05:30,NIFTY2610626550PE,26550.0,2026-01-06,221.0,137280.0
2026-01-05 09:16:19+05:30,NIFTY2610626550PE,26550.0,2026-01-06,218.5,137280.0
2026-01-05 09:16:20+05:30,NIFTY2610626550PE,26550.0,2026-01-06,220.25,137280.0
2026-01-05 09:16:21+05:30,NIFTY2610626550PE,26550.0,2026-01-06,219.0,137280.0
2026-01-05 09:16:22+05:30,NIFTY2610626550PE,26550.0,2026-01-06,219.7,137280.0
2026-01-05 09:16:23+05:30,NIFTY2610626550PE,26550.0,2026-01-06,220.15,137280.0
2026-01-05 09:16:24+05:30,NIFTY2610626550PE,26550.0,2026-01-06,223.2,137280.0
2026-01-05 09:16:25+05:30,NIFTY2610626550PE,26550.0,2026-01-06,223.2,137280.0
2026-01-05 09:16:26+05:30,NIFTY2610626550PE,26550.0,2026-01-06,221.2,137280.0
2026-01-05 09:16:27+05:30,NIFTY2610626550PE,26550.0,2026-01-06,221.85,137280.0
2026-01-05 09:16:28+05:30,NIFTY2610626550PE,26550.0,2026-01-06,222.3,137280.0
2026-01-05 09:16:29+05:30,NIFTY2610626550PE,26550.0,2026-01-06,223.55,137280.0
2026-01-05 09:16:30+05:30,NIFTY2610626550PE,26550.0,2026-01-06,223.95,137280.0
2026-01-05 09:16:31+05:30,NIFTY2610626550PE,26550.0,2026-01-06,224.75,137280.0
2026-01-05 09:16:32+05:30,NIFTY2610626550PE,26550.0,2026-01-06,223.95,137280.0
2026-01-05 09:16:33+05:30,NIFTY2610626550PE,26550.0,2026-01-06,225.0,137280.0
2026-01-05 09:16:34+05:30,NIFTY2610626550PE,26550.0,2026-01-06,224.9,137280.0
2026-01-05 09:16:35+05:30,NIFTY2610626550PE,26550.0,2026-01-06,225.3,137280.0
2026-01-05 09:16:36+05:30,NIFTY2610626550PE,26550.0,2026-01-06,227.2,137280.0
2026-01-05 09:16:37+05:30,NIFTY2610626550PE,26550.0,2026-01-06,229.0,137280.0
2026-01-05 09:16:38+05:30,NIFTY2610626550PE,26550.0,2026-01-06,230.0,137280.0
