ts,instrument,strike,expiry,ltp,oi
2026-01-05 09:15:00+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:01+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:02+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:03+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:04+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:05+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:06+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:07+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:08+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:09+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:10+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.45,623155.0
2026-01-05 09:15:11+05:30,NIFTY2611326400PE,26400.0,2026-01-13,126.3,623155.0
2026-01-05 09:15:12+05:30,NIFTY2611326400PE,26400.0,2026-01-13,126.3,623155.0
2026-01-05 09:15:13+05:30,NIFTY2611326400PE,26400.0,2026-01-13,125.2,623155.0
2026-01-05 09:15:14+05:30,NIFTY2611326400PE,26400.0,2026-01-13,125.2,623155.0
2026-01-05 09:15:15+05:30,NIFTY2611326400PE,26400.0,2026-01-13,125.2,623155.0
2026-01-05 09:15:16+05:30,NIFTY2611326400PE,26400.0,2026-01-13,122.9,623155.0
2026-01-05 09:15:17+05:30,NIFTY2611326400PE,26400.0,2026-01-13,122.9,623155.0
2026-01-05 09:15:18+05:30,NIFTY2611326400PE,26400.0,2026-01-13,122.9,623155.0
2026-01-05 09:15:19+05:30,NIFTY2611326400PE,26400.0,2026-01-13,122.9,623155.0
2026-01-05 09:15:20+05:30,NIFTY2611326400PE,26400.0,2026-01-13,123.3,623155.0
2026-01-05 09:15:21+05:30,NIFTY2611326400PE,26400.0,2026-01-13,122.35,623155.0
2026-01-05 09:15:22+05:30,NIFTY2611326400PE,26400.0,2026-01-13,123.35,623155.0
2026-01-05 09:15:23+05:30,NIFTY2611326400PE,26400.0,2026-01-13,123.35,623155.0
2026-01-05 09:15:24+05:30,NIFTY2611326400PE,26400.0,2026-01-13,125.35,623155.0
2026-01-05 09:15:25+05:30,NIFTY2611326400PE,26400.0,2026-01-13,125.35,623155.0
2026-01-05 09:15:26+05:30,NIFTY2611326400PE,26400.0,2026-01-13,125.35,623155.0
2026-01-05 09:15:27+05:30,NIFTY2611326400PE,26400.0,2026-01-13,125.35,623155.0
2026-01-05 09:15:28+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.15,623155.0
2026-01-05 09:15:29+05:30,NIFTY2611326400PE,26400.0,2026-01-13,126.75,623155.0
2026-01-05 09:15:30+05:30,NIFTY2611326400PE,26400.0,2026-01-13,127.7,623155.0
2026-01-05 09:15:31+05:30,NIFTY2611326400PE,26400.0,2026-01-13,128.95,623155.0
2026-01-05 09:15:32+05:30,NIFTY2611326400PE,26400.0,2026-01-13,130.0,623155.0
2026-01-05 09:15:33+05:30,NIFTY2611326400PE,26400.0,2026-01-13,130.9,623155.0
2026-01-05 09:15:34+05:30,NIFTY2611326400PE,26400.0,2026-01-13,130.9,623155.0
2026-01-05 09:15:35+05:30,NIFTY2611326400PE,26400.0,2026-01-13,131.55,623155.0
2026-01-05 09:15:36+05:30,NIFTY2611326400PE,26400.0,2026-01-13,131.5,623155.0
2026-01-05 09:15:37+05:30,NIFTY2611326400PE,26400.0,2026-01-13,131.0,623155.0
2026-01-05 09:15:38+05:30,NIFTY2611326400PE,26400.0,2026-01-13,131.9,623155.0
2026-01-05 09:15:39+05:30,NIFTY2611326400PE,26400.0,2026-01-13,131.65,623155.0
2026-01-05 09:15:40+05:30,NIFTY2611326400PE,26400.0,2026-01-13,131.45,623155.0
2026-01-05 09:15:41+05:30,NIFTY2611326400PE,26400.0,2026-01-13,131.15,623155.0
2026-01-05 09:15:42+05:30,NIFTY2611326400PE,26400.0,2026-01-13,131.1,623155.0
2026-01-05 09:15:43+05:30,NIFTY2611326400PE,26400.0,2026-01-13,132.85,623155.0
2026-01-05 09:15:44+05:30,NIFTY2611326400PE,26400.0,2026-01-13,132.3,623155.0
2026-01-05 09:15:45+05:30,NIFTY2611326400PE,26400.0,2026-01-13,132.75,623155.0
2026-01-05 09:15:46+05:30,NIFTY2611326400PE,26400.0,2026-01-13,133.65,623155.0
2026-01-05 09:15:47+05:30,NIFTY2611326400PE,26400.0,2026-01-13,134.15,623155.0
2026-01-05 09:15:48+05:30,NIFTY2611326400PE,26400.0,2026-01-13,134.0,623155.0
2026-01-05 09:15:49+05:30,NIFTY2611326400PE,26400.0,2026-01-13,134.45,623155.0
2026-01-05 09:15:50+05:30,NIFTY2611326400PE,26400.0,2026-01-13,135.2,623155.0
2026-01-05 09:15:51+05:30,NIFTY2611326400PE,26400.0,2026-01-13,136.35,623155.0
2026-01-05 09:15:52+05:30,NIFTY2611326400PE,26400.0,2026-01-13,135.65,623155.0
2026-01-05 09:15:53+05:30,NIFTY2611326400PE,26400.0,2026-01-13,135.6,623155.0
2026-01-05 09:15:54+05:30,NIFTY2611326400PE,26400.0,2026-01-13,136.35,623155.0
2026-01-05 09:15:55+05:30,NIFTY2611326400PE,26400.0,2026-01-13,137.9,623155.0
2026-01-05 09:15:56+05:30,NIFTY2611326400PE,26400.0,2026-01-13,138.25,623155.0
2026-01-05 09:15:57+05:30,NIFTY2611326400PE,26400.0,2026-01-13,138.65,623155.0
2026-01-05 09:15:58+05:30,NIFTY2611326400PE,26400.0,2026-01-13,140.15,623155.0
2026-01-05 09:15:59+05:30,NIFTY2611326400PE,26400.0,2026-01-13,140.3,623155.0
2026-01-05 09:16:00+05:30,NIFTY2611326400PE,26400.0,2026-01-13,141.75,623155.0
2026-01-05 09:16:01+05:30,NIFTY2611326400PE,26400.0,2026-01-13,142.9,623155.0
2026-01-05 09:16:02+05:30,NIFTY2611326400PE,26400.0,2026-01-13,143.75,623155.0
2026-01-05 09:16:03+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.7,623155.0
2026-01-05 09:16:04+05:30,NIFTY2611326400PE,26400.0,2026-01-13,143.75,623155.0
2026-01-05 09:16:05+05:30,NIFTY2611326400PE,26400.0,2026-01-13,142.4,623155.0
2026-01-05 09:16:06+05:30,NIFTY2611326400PE,26400.0,2026-01-13,143.0,623155.0
2026-01-05 09:16:07+05:30,NIFTY2611326400PE,26400.0,2026-01-13,143.2,623155.0
2026-01-05 09:16:08+05:30,NIFTY2611326400PE,26400.0,2026-01-13,142.65,623155.0
2026-01-05 09:16:09+05:30,NIFTY2611326400PE,26400.0,2026-01-13,142.75,623155.0
2026-01-05 09:16:10+05:30,NIFTY2611326400PE,26400.0,2026-01-13,140.45,623155.0
2026-01-05 09:16:11+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.05,674505.0
2026-01-05 09:16:12+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.05,674505.0
2026-01-05 09:16:13+05:30,NIFTY2611326400PE,26400.0,2026-01-13,145.1,674505.0
2026-01-05 09:16:14+05:30,NIFTY2611326400PE,26400.0,2026-01-13,145.9,674505.0
2026-01-05 09:16:15+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.15,674505.0
2026-01-05 09:16:16+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.95,674505.0
2026-01-05 09:16:17+05:30,NIFTY2611326400PE,26400.0,2026-01-13,145.25,674505.0
2026-01-05 09:16:18+05:30,NIFTY2611326400PE,26400.0,2026-01-13,145.2,674505.0
2026-01-05 09:16:19+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.75,674505.0
2026-01-05 09:16:20+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.7,674505.0
2026-01-05 09:16:21+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.8,674505.0
2026-01-05 09:16:22+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.65,674505.0
2026-01-05 09:16:23+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.8,674505.0
2026-01-05 09:16:24+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.25,674505.0
2026-01-05 09:16:25+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.55,674505.0
2026-01-05 09:16:26+05:30,NIFTY2611326400PE,26400.0,2026-01-13,144.75,674505.0
2026-01-05 09:16:27+05:30,NIFTY2611326400PE,26400.0,2026-01-13,145.55,674505.0
2026-01-05 09:16:28+05:30,NIFTY2611326400PE,26400.0,2026-01-13,145.5,674505.0
2026-01-05 09:16:29+05:30,NIFTY2611326400PE,26400.0,2026-01-13,147.1,674505.0
2026-01-05 09:16:30+05:30,NIFTY2611326400PE,26400.0,2026-01-13,145.95,674505.0
2026-01-05 09:16:31+05:30,NIFTY2611326400PE,26400.0,2026-01-13,145.9,674505.0
2026-01-05 09:16:32+05:30,NIFTY2611326400PE,26400.0,2026-01-13,145.9,674505.0
2026-01-05 09:16:33+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.8,674505.0
2026-01-05 09:16:34+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.65,674505.0
2026-01-05 09:16:35+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.1,674505.0
2026-01-05 09:16:36+05:30,NIFTY2611326400PE,26400.0,2026-01-13,147.6,674505.0
2026-01-05 09:16:37+05:30,NIFTY2611326400PE,26400.0,2026-01-13,149.0,674505.0
2026-01-05 09:16:38+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.95,674505.0
2026-01-05 09:16:39+05:30,NIFTY2611326400PE,26400.0,2026-01-13,149.35,674505.0
2026-01-05 09:16:40+05:30,NIFTY2611326400PE,26400.0,2026-01-13,149.25,674505.0
2026-01-05 09:16:41+05:30,NIFTY2611326400PE,26400.0,2026-01-13,150.5,674505.0
2026-01-05 09:16:42+05:30,NIFTY2611326400PE,26400.0,2026-01-13,150.5,674505.0
2026-01-05 09:16:43+05:30,NIFTY2611326400PE,26400.0,2026-01-13,151.0,674505.0
2026-01-05 09:16:44+05:30,NIFTY2611326400PE,26400.0,2026-01-13,151.45,674505.0
2026-01-05 09:16:45+05:30,NIFTY2611326400PE,26400.0,2026-01-13,151.35,674505.0
2026-01-05 09:16:46+05:30,NIFTY2611326400PE,26400.0,2026-01-13,150.95,674505.0
2026-01-05 09:16:47+05:30,NIFTY2611326400PE,26400.0,2026-01-13,151.0,674505.0
2026-01-05 09:16:48+05:30,NIFTY2611326400PE,26400.0,2026-01-13,149.9,674505.0
2026-01-05 09:16:49+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.35,674505.0
2026-01-05 09:16:50+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.35,674505.0
2026-01-05 09:16:51+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.0,674505.0
2026-01-05 09:16:52+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.0,674505.0
2026-01-05 09:16:53+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.0,674505.0
2026-01-05 09:16:54+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.35,674505.0
2026-01-05 09:16:55+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.7,674505.0
2026-01-05 09:16:56+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.7,674505.0
2026-01-05 09:16:57+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.9,674505.0
2026-01-05 09:16:58+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.9,674505.0
2026-01-05 09:16:59+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.9,674505.0
2026-01-05 09:17:00+05:30,NIFTY2611326400PE,26400.0,2026-01-13,146.8,674505.0
2026-01-05 09:17:01+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.3,674505.0
2026-01-05 09:17:02+05:30,NIFTY2611326400PE,26400.0,2026-01-13,147.85,674505.0
2026-01-05 09:17:03+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.25,674505.0
2026-01-05 09:17:04+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.05,674505.0
2026-01-05 09:17:05+05:30,NIFTY2611326400PE,26400.0,2026-01-13,148.0,674505.0
